AST_PER_GAME,BLK_PER_GAME,CONF_RANKS,CONTINENT,DRAFT_PICK,DRAFT_ROUND,DREB_PER_GAME,FG3A_PER_GAME,FG3M_PER_GAME,FGA_PER_GAME,FGM_PER_GAME,FROM_TANKING,FTA_PER_GAME,FTM_PER_GAME,GP,GS,HEIGHT,MIN,NEW_TEAM,OREB_PER_GAME,PF_PER_GAME,PLAYER,PLAYER_AGE,POSITION,PTS_PER_GAME,REB_PER_GAME,STL_PER_GAME,TEAM_ID,TOV_PER_GAME,TO_TANKING,WEIGHT,YEARS_IN_LEAGUE
4.622,0.689,2,1,3,1,7.716,9.27,3.243,21.068,9.824,0,8.405,7.176,74,74,203.2,2732,0,1.054,2.162,Jayson Tatum,24,2,30.068,8.77,1.054,1610612738,2.878,0,210,6
4.152,1.697,3,3,3,1,8.439,3.03,1.0,20.121,11.03,0,11.682,10.015,66,66,213.4,2284,0,1.712,3.106,Joel Embiid,28,4,33.076,10.152,1.0,1610612755,3.424,0,280,7
8.015,0.5,11,2,3,1,7.803,8.197,2.803,21.955,10.894,0,10.515,7.803,66,66,200.7,2391,0,0.818,2.515,Luka Doncic,23,2,32.394,8.621,1.364,1610612742,3.576,0,230,5
5.456,0.956,10,1,11,1,3.971,2.471,0.853,20.309,10.353,0,10.868,9.838,68,60,198.1,2416,0,0.868,2.824,Shai Gilgeous-Alexander,24,1,31.397,4.838,1.647,1610612760,2.824,0,195,5
5.698,0.81,1,2,15,1,9.603,2.714,0.746,20.286,11.222,0,12.254,7.905,63,18,213.4,2024,0,2.175,3.127,Giannis Antetokounmpo,28,3,31.095,11.778,0.825,1610612749,3.905,0,243,10
4.43,0.734,8,1,1,1,5.203,7.316,2.696,19.506,8.949,0,5.342,4.038,79,79,193.0,2841,0,0.595,2.354,Anthony Edwards,21,1,24.633,5.797,1.582,1610612750,3.278,0,225,0
4.104,0.273,5,1,7,1,8.13,8.26,2.831,18.597,8.545,0,6.896,5.221,77,0,203.2,2737,0,1.831,3.026,Julius Randle,28,4,25.143,9.961,0.636,1610612752,2.805,0,250,9
4.426,0.397,4,1,13,1,3.324,9.338,3.603,20.618,9.985,0,5.412,4.691,68,61,185.4,2432,1,0.926,2.471,Donovan Mitchell,26,1,28.265,4.25,1.456,1610612739,2.647,0,215,6
10.151,0.123,7,1,5,1,2.205,6.301,2.11,19.041,8.178,0,8.753,7.753,73,73,185.4,2541,0,0.767,1.425,Trae Young,24,1,26.219,2.973,1.096,1610612737,4.11,0,164,5
4.247,0.234,10,1,13,1,3.935,7.065,2.649,18.026,8.74,0,5.558,4.714,77,39,195.6,2768,0,0.545,2.065,Zach LaVine,27,2,24.844,4.481,0.896,1610612741,2.519,0,200,9
7.328,0.31,13,1,6,1,4.017,11.345,4.207,20.724,9.586,0,9.621,8.793,58,58,188.0,2107,0,0.759,1.879,Damian Lillard,32,1,32.172,4.776,0.862,1610612757,3.293,0,195,11
6.123,0.315,3,1,5,1,3.644,5.027,1.63,18.233,9.342,0,6.027,4.699,73,61,190.5,2435,0,0.548,2.356,De'Aaron Fox,24,1,25.014,4.192,1.137,1610612758,2.479,0,185,6
5.095,0.486,10,1,9,1,4.176,1.919,0.622,17.608,8.878,0,7.068,6.162,74,62,198.1,2682,0,0.459,2.514,DeMar DeRozan,33,2,24.541,4.635,1.122,1610612741,2.068,0,220,14
3.463,0.388,2,1,3,1,5.687,7.269,2.433,20.642,10.134,0,5.134,3.925,67,17,198.1,2405,0,1.164,2.567,Jaylen Brown,26,2,26.627,6.851,1.119,1610612738,2.94,0,223,7
5.845,0.507,9,3,27,1,5.986,4.042,1.31,18.493,8.873,0,6.676,5.169,71,49,203.2,2652,0,1.845,3.211,Pascal Siakam,28,3,24.225,7.831,0.915,1610612761,2.38,0,230,7
1.864,0.576,12,2,7,1,6.667,7.742,3.03,17.348,8.652,0,6.045,5.288,66,66,213.4,2272,1,1.97,2.076,Lauri Markkanen,25,4,25.621,8.636,0.636,1610612762,1.924,0,240,6
9.826,0.681,1,2,41,2,9.42,2.159,0.826,14.812,9.362,0,6.014,4.942,69,47,210.8,2323,0,2.42,2.522,Nikola Jokic,27,5,24.493,11.841,1.261,1610612743,3.58,0,284,8
3.697,0.237,14,1,2,1,3.171,7.289,2.461,17.882,7.447,0,6.092,4.789,76,76,193.0,2602,0,0.566,1.724,Jalen Green,21,1,22.145,3.737,0.776,1610612745,2.632,0,186,0
4.5,0.256,6,1,28,1,2.354,7.768,2.61,15.585,6.707,0,5.061,4.402,82,20,193.0,2458,0,0.39,2.61,Jordan Poole,23,1,20.427,2.744,0.768,1610612744,3.073,1,194,4
3.289,0.735,6,1,10,1,3.434,5.325,2.036,15.265,7.145,0,4.253,3.807,83,56,198.1,2963,1,0.952,1.916,Mikal Bridges,26,3,20.133,4.386,1.096,1610612751,1.53,0,209,5
6.286,0.357,6,1,7,1,5.393,11.411,4.875,20.232,9.982,0,5.018,4.589,56,53,188.0,1941,0,0.696,2.089,Stephen Curry,34,1,29.429,6.089,0.929,1610612744,3.196,0,185,14
6.191,0.221,5,1,33,2,2.956,4.735,1.971,17.574,8.632,0,5.765,4.779,68,35,188.0,2379,1,0.588,2.235,Jalen Brunson,26,1,24.015,3.544,0.897,1610612752,2.088,0,190,5
